ID,Award Name,Organization,Purpose,Level of Study,Award Type,Award Amount,Deadline
9998046,BBPA Specialty Scholarships - LGBTQ Scholarship,Black Business and Professional Association,To recognize an outstanding student from the LGBTQ community who wishes to pursue higher education at the college or university level.,"Bachelor's Degree
High School",Scholarship,N/A,July
9998045,BBPA Specialty Scholarships - Skilled Trades Scholarship,Black Business and Professional Association,"To recognize the need to bridge the gap between business and our youth, to promote economic community at the person, industry, and national level.","Bachelor's Degree
High School",Scholarship,N/A,July
9998155,BETF Corporate Scholarship Program,BDPA Education and Technology Foundation,To provide outstanding minority students financial assistance in pursuing an information technology-related degree.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500 ",July
9991541,BM1 James Elliott Williams Memorial Scholarship Fund,PBR Forces Veterans Association,To honor boatswains mate first class James Elliott.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,July
9997406,C.C.H.R.M.A. Scholarships,Coastal Bend Community Foundation,To assist students majoring in business with an interest in human resources.,Bachelor's Degree,Scholarship,$700 ,July
9992365,C.L. Kelly Scholarship for Halifax County,North Carolina Community Foundation,To support residents of Halifax County planning to pursue postsecondary education.,Bachelor's Degree,Scholarship,N/A,July
9997902,California Council of the Blind Student Scholarships,California Council of the Blind,To provide financial assistance to legally blind students in California for their educational expenses.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,N/A,July
9998043,Canadian Medical Foundation Bursary for Black Medical Students,Black Business and Professional Association,To support Black students who have been accepted to and/or are attending any medical school in Canada.,Bachelor's Degree,Scholarship,N/A,July
9998042,Canadian Public Relations Society Foundation Scholarship,Black Business and Professional Association,To support Black Canadian students pursuing degrees in public relations.,Bachelor's Degree,Scholarship,N/A,July
9997632,CardRates.com Financial Futures Scholarship,CardRates.com,To support student education and the future of the financial industry.,"Bachelor's Degree
High School",Scholarship,"$1,000 ",July
9999951,Caribbean Actuarial Scholarship,The Actuarial Foundation,"To support University of the West Indies (UWI) actuarial student(s) who demonstrate a strong record of accomplishment, leadership qualities and commitment to becoming an actuary.",Bachelor's Degree,Scholarship,"$500
$1,000
$2,000
$3,000",July
9994592,Casilda Pagan Educational/Vocational Scholarships,House of Puerto Rico San Diego,To support members pursuing post-secondary education.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,N/A,July
9996387,CCFA Career Development Awards,Crohn's & Colitis Foundation,To facilitate the development of individuals with research potential to prepare for a career of independent basic research investigation in the area of inflammatory bowel disease (IBD).,"Graduate Degree
Professional Development","Grant
Prize","$90,000 ",July
9999260,Cedarcrest Farms Scholarships,American Jersey Cattle Association,To support secondary students entering college freshmen through graduate school.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,750 ",July
9990405,Children of SPE Evangeline Section Membership Scholarship,Society of Petroleum Engineers - Evangeline Section,To provide support to eligible children of SPS Evangeline Section members pursuing Bachelor's or Master's degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$500
$1,000",July
9989650,Chris L. Kleinke Scholarship,University of Alaska Anchorage,"To recognize academic performance, community involvement, athletic ability or other achievements.","Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9998032,Christeen Ross Julien Scholarship,Black Business and Professional Association,To support Black Canadian students pursuing postsecondary studies.,Bachelor's Degree,Scholarship,N/A,July
2015240,Clark Law Group Scholarship,Clark Law Group,"Our Clark Law Group Scholarship provides a $1,000 award each semester to a student whose parent is actively serving or previously served in the United States military. We are honored to support families of military service members.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9994645,Colgate-Palmolive/HDA Foundation Dental Residency or Specialty,Hispanic Dental Association,To support promising students training in an accredited Dental Residency or Dental Specialty Program.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",July
9998039,"Connor, Clark & Lunn Financial Group Scholarship",Black Business and Professional Association,To support a Black student and who attends any three+ year program at an accredited college or university located in Canada.,Bachelor's Degree,Scholarship,N/A,July
2015536,Constitutional Studies Scholarship Program,Foundation for the Restoration of America,"Foundation for the Restoration of America (FFROA) Constitutional Studies Scholarship Program is awarding $100,000 in scholarship funds. We invite you to learn about America's founding through our free online Constitutional program and apply for up to $10,000 in scholarships!","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$2
$3
$5
$10,000",July
9991015,Cottrell Scholar Award (CSA),Research Corporation for Science Advancement,To provides entry into a national community of outstanding scholar-educators who produce significant research and educational outcomes; To honors and helps to develop outstanding teacher-scholars who are recognized by their scientific communities for the quality and innovation of their research programs and their academic leadership skills.,"Bachelor's Degree
Graduate Degree",Prize,"$100,000 ",July
9996402,Courage to Grow Scholarships,Courage To Grow Scholarship,To help and support students achieve their higher education goals.,"Bachelor's Degree
High School",Scholarship,$500 ,July
9997560,CRMA Scholarship,Chicago Railroad Mechanical Association,To provide financial assistance to eligible college or university students.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,000 ",July
9996367,CustomerServ Scholarship,CustomerServ,To help current or prospective business students relieve some financial stress in the upcoming school year.,Bachelor's Degree,Scholarship,"$7,500 ",July
9996051,Cyber Security Scholarship,EducationDynamics L.L.C.,To help students fund their education.,"Bachelor's Degree
Vocational",Scholarship,"$1,000 ",July
9996349,Damon Runyon-Rachleff Innovation Awards,Damon Runyon Cancer Research Foundation,To provide funding for extraordinary early career researchers who have an innovative new idea but lack sufficient preliminary data to obtain traditional funding.,Graduate Degree,Prize,"$150,000 ",July
9991913,David and Deborah Clark Fellowship,Organization for Tropical Studies,To assist thesis-related field research in tropical biology and similar fields.,Graduate Degree,Fellowship,"$340
$5,200",July
9996230,DBA Scholarships,Dominican Bar Association,"To recognize law students who demonstrate community service involvement, academic commitment and financial.",N/A,Scholarship,"$3,000 ",July
9996330,Debt.com Scholarship For Aggressive Scholarship Applicants,Debt.com,To encourage Americans to fight their way to financial independence - from college freshmen to senior citizens and everyone in between.,Bachelor's Degree,Scholarship,$500 ,July
9997993,Delories Thompson Scholarship,Bold.org,To provide financial aid to students at HBCUs.,Bachelor's Degree,Scholarship,"$1,020 ",July
9990633,Delta Iota Alumni Scholarship,SINFONIA Educational Foundation,To keep with the strong tradition of fraternal interaction and support for the national fraternity exemplified by delta iota brothers.,"Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9998033,Denham Jolly Scholarship,Black Business and Professional Association,To support student who are from a sole parent family or who are single parents themselves and are enrolled a full-time Nursing program.,Bachelor's Degree,Scholarship,N/A,July
9989772,Dennis J. O'Brien USAEE Best Student Paper Award,United States Association for Energy Economics,To showcase and reward the best student work in the profession.,"Bachelor's Degree
Graduate Degree","Prize
Scholarship","$1,000 ",July
9991912,Dole Food Fellowship,Organization for Tropical Studies,To assist thesis-related field research in tropical biology and similar fields.,Graduate Degree,Fellowship,"$340
$5,200",July
9992401,Donald Patrick Darden Scholarship,North Carolina Community Foundation,To provide support to children/grandchildren (including step) of members of the North Carolina Highway Patrol who are attending East Carolina University.,Bachelor's Degree,Scholarship,N/A,July
9990145,Dorothy L. Maddy Workshop/Seminar Scholarship,Stained Glass Association of America,"To support hands-on, short-term workshops and classes during our annual conference.",N/A,Scholarship,$600 ,July
9998051,Dr. Anderson Abbott Scholarship,Black Business and Professional Association,To support Black Canadian students studying health sciences at the University of Toronto.,Bachelor's Degree,Scholarship,N/A,July
9989664,Dr. Jon Baker Memorial Scholarship,University of Alaska Anchorage,To recognize the importance of a quality education and are dedicated to helping you achieve your higher education goals.,"Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9996091,Earnest Scholarship Fund,Earnest Operations LLC,To provide for college students and parents/legal guardians of college students who satisfy the eligibility requirements stated herein.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",July
9995602,Edward Leon Duhamel Scholarship,Franklin Lodge Number 20 F. & A.M.,To provide student maintains good academic standing.,Bachelor's Degree,Scholarship,"$500
$1,000",July
9989659,Edward Rolling Clinton Memorial Endowment Fund,University of Alaska Anchorage,To provide breadth and depth of UAA’s Bachelor of Music degree program open up a variety of options for you.,"Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9991861,Eileen J. Garrett Scholarship,Parapsychology Foundation,To assist a student attending an accredited college or university who wishes to pursue the academic study of the science of parapsychology.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,000 ",July
9989665,Elaine Atwood Excellence Scholarship,University of Alaska Anchorage,"To recognize academic performance, community involvement, athletic ability or other achievements.","Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",July
9991967,Emil Wolf Outstanding Student Paper Competition,Optical Society of America Foundation,"To recognize the innovation, research and presentation excellence of students presenting their work during Frontiers in Optics (FiO).","Bachelor's Degree
Graduate Degree",Prize,$300 ,July
9991911,Emily P. Foster Fellowship,Organization for Tropical Studies,To assist thesis-related field research in tropical biology and similar fields.,Graduate Degree,Fellowship,"$340
$5,200",July
2014530,"Environmental Litigation Group, P.C. Scholarship Program","Environmental Litigation Group, P.C.","We are aware of how profoundly a cancer diagnosis affects the family dynamics and the emotional well being of each family member. Everything changes in a family when someone gets a cancer diagnosis. Parents have to quit jobs and focus on treatment and the family's income decreases drastically. Our goal is to support a student with a family connection to cancer continue his/her education. For this reason, we have decided to offer a little help to young people who witnessed a loved ones devastating struggle with cancer in order to ease at least their financial situation.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$2,000
$3,000
$5,000",July
9998459,Ernst and Young Scholarships,"Ascend, Inc.",To support and honor students who have made excellent scholastic performance and contribution to the community.,Bachelor's Degree,Scholarship,"$5,000 ",July
9997991,Ethel Hayes Destigmatization of Mental Health Scholarship,Bold.org,To provide financial assistance to students whose lives have been affected by challenges with mental health. Funded by a doctor who lost his mother to suicide.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Prize,"$6,100 ",July
9989642,Eveline Schuster Memorial Award/Scholarship,University of Alaska Anchorage,"To recognize academic performance, community involvement, athletic ability or other achievements.","Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9995867,Exabeam Cyber Security Scholarship,Exabeam Inc.,To support the advancement and recruitment of women in cybersecurity to bring unique perspectives.,Bachelor's Degree,Scholarship,"$1,000 ",July
9997984,Exercise For Life Athletic Scholarship,Boomer Esiason Foundation,To provide educational assistance for student athletes with cystic fibrosis.,"Bachelor's Degree
High School",Scholarship,"$10,000 ",July
9995859,EZChildTrack Student Scholarship,EZChildTrack,To relieve financial stress for an education student.,Bachelor's Degree,Scholarship,$500 ,July
9995858,EZstorit.com Self Storage Employee Scholarship,EZstorit.com,To assist current self-storage employees and their immediate family members with costs associated with college.,Bachelor's Degree,Scholarship,N/A,July
2015341,EZstorit.com Self Storage Employee Scholarship,EZstorit.com,"To assist current self-storage employees and their immediate family
members with costs associated with college.","Associate Degree
Bachelor's Degree",Scholarship,N/A,July
9991910,F. Christian and Betty Thompson Fellowship,Organization for Tropical Studies,To assist thesis-related field research in tropical biology and similar fields.,Graduate Degree,Fellowship,"$340
$5,200",July
9992313,F.H. “Sammy” Ross Jr. and Gary “GJ” Johnston,North Carolina Community Foundation,To assist Linville Ridge employees and their family members who are pursuing higher education.,"Associate Degree
Bachelor's Degree
Vocational",Scholarship,N/A,July
9992978,FASSE-International Assembly International Understanding Grants,National Council for the Social Studies,To support collaborative projects that demonstrate potential to enhance international relationships and global perspectives in social studies education.,N/A,Grant,"$5,000 ",July
9989815,Flavor of the Month Scholarship,UNIGO Group,To serve the needs of college undergraduate and graduate students and high school students as they look for ways to pay for their education.,"Bachelor's Degree
High School
Vocational",Scholarship,"$1,500 ",July
9993016,Flight Attendants/Flight Technician Scholarship,National Business Aviation Association,To promote education and training as a means for business aviation flight attendants and flight technicians to enhance their professional careers.,Professional Development,Scholarship,N/A,July
9999201,Florence Tyson Grant to Study Music Psychotherapy,American Music Therapy Association,"To support professional music therapists in post-undergraduate training in music psychotherapy, music and psychotherapy, or psychotherapy.",Bachelor's Degree,Grant,N/A,July
9995736,Florida Fertilizer and Agrichemical Association Scholarships,Florida Fertilizer & Agrichemical Association,To promote the study of agriculture in higher education and to encourage academic excellence among students pursuing agriculture studies.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,July
9995186,Foley Equipment Scholarship,Greater Kansas City Community Foundation,"To support mechanically inclined high school students pursuing a technical program or postsecondary degree focused on a career in heavy equipment, diesel, and/or electric power generation.","Associate Degree
Vocational",Scholarship,"$1,000
$2,000",July
9995871,ForEverglades Research Enhancement Grant,Everglades Foundation,"To support graduate research students in pursuing the development of innovative scientific methods in advancing the understanding of Everglades physical, chemical, or biological processes, or research in economic impacts of environmental changes.",Graduate Degree,Scholarship,"$10,000
$20,000",July
9995870,ForEverglades Scholarship,Everglades Foundation,"To support graduate research students in pursuing the development of innovative scientific methods in advancing the understanding of Everglades physical, chemical, or biological processes, or research in economic impacts of environmental changes.",Graduate Degree,Scholarship,"$10,000
$20,000",July
9992413,"Frances Mae Carawan Scholarship, in memory of Henry B. and Janie",North Carolina Community Foundation,To support Pamlico County High School graduates who are pursuing college degrees.,Bachelor's Degree,Scholarship,N/A,July
9999566,Frank J. Richter Scholarship,American Association of Railroad Superintendents,To support the education of students enrolled at an accredited college or university in the U.S. or Canada.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9992139,Frederick Rakestraw Law Scholarship,"Northern Indiana Community Foundation, Inc.",To help students of Fulton County pursue law degrees.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9995588,Gamewardens Scholarship,"Gamewardens Association, Vietnam to Present",To support assistance with college expenses.,Bachelor's Degree,Scholarship,"$2,000 ",July
9995104,GCFI Student Travel Awards,Gulf and Caribbean Fisheries Institute,To provide for attend the current GCFI conference are offered to students presenting research work related to the Gulf of Mexico and Caribbean Regions.,Bachelor's Degree,Prize,$750 ,July
2015581,Gen and Kelly Tanabe Think about Your Future Scholarship,Gen and Kelly Tanabe,"The Gen and Kelly Tanabe Scholarship is a merit-based program that helps students fulfill their dreams of a higher education. The scholarship is named for Gen and Kelly Tanabe, best-selling authors on education, whose generous donations fund this program.","Associate Degree
Bachelor's Degree
High School
Vocational",Scholarship,"$1,000 ",July
9993722,George E. Jonas Scholarships,Louis August Jonas Foundation,To provide financial assistance to Camp Rising Sun alumni.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$5,000",July
9993864,George V. Powell Diversity Scholarship,Lane Powell PC,To provide the fellow at the conclusion of the 2025 Summer Associate Program.,N/A,Scholarship,"$7,500 ",July
9999974,George Watt Prize,Abraham Lincoln Brigade Archives,"To recognize the best essay made by students to honor Lincoln vet George Watt, a writer and lifelong activist central to the creation of ALBA.","Bachelor's Degree
Graduate Degree",Prize,"$250
$500
$1,000",July
9998019,"Get A Boost $2,000 Scholarship",Black Note Inc.,To provide scholarships for students.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$2,000 ",July
9995857,Get Ahead Scholarship,EZstorit.com,To assist students financially.,"Bachelor's Degree
Graduate Degree",Scholarship,$500 ,July
9989658,Governor William A. Egan Award,University of Alaska Anchorage,"To recognize academic performance, community involvement, athletic ability or other achievements.","Bachelor's Degree
Graduate Degree",Prize,"$2,000 ",July
9994330,Graduate Study Fellowship,International Public Management Association for Human Resources,"To allow recipients to pursue graduate study in public administration, business administration, the law or a related field.","Bachelor's Degree
Graduate Degree",Fellowship,"$2,000 ",July
9992442,Graphic Design Scholarships,Nonstop Signs and Graphics,To help a graphic design student gain an education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500 ",July
9989475,H. Kruger Kaprielian Scholarship,University of Virginia,To support Armenian-descent students at the University of Virginia in their educational pursuits.,"Bachelor's Degree
Graduate Degree",Scholarship,N/A,July
9997990,H.R. Brooks Scholarship,Bold.org,To give financial aid to LGBTQ+ single parents or those with an LGBTQ+ single parent.,"Bachelor's Degree
High School",Scholarship,"$1,400 ",July
9993924,"HACU/KIA Motors America, Inc. STEAM Scholarships","Kia America, Inc.",To assist STEAM students in defraying some of the educational expenditures.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,400 ",July
9994646,"HACU/KIA Motors America, Inc. STEAM Scholarships",Hispanic Association of Colleges and Universities,To assist STEAM students in defraying some of the educational expenditures.,"Bachelor's Degree
Graduate Degree",Scholarship,"$3,400 ",July
9989134,Hair Loss Scholarship,Wigs.com,To provide support for students suffering from any form of hair loss.,"Bachelor's Degree
Graduate Degree
Vocational",Scholarship,"$1,000 ",July
9990563,Harold E. Ennes Scholarship,Society of Broadcast Engineers,To provide assistance for candidates who aspire to a career in the technical aspects of broadcasting.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000
$1,500",July
9998852,Helen Krich Chinoy Dissertation Fellowship,American Society for Theatre Research,To assist Ph.D. candidates with the expenses of travel to national and international collections to conduct research projects connected with their dissertations.,Graduate Degree,Fellowship,"$3,000 ",July
9997637,Helen Veress-Mitchell Scholarship Fund,Capital City AIDS Fund,"To help and support people living with HIV/AIDS attend college and pursue a two-year, four-year, or graduate degree.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,July
2015109,HireAHelper Skilled Trade & Technology Scholarships,HireaHelper.com,"Growing demand and lack of qualified workers in skilled trades like the moving industry means its a great time to go back to school and enter these lucrative and fast-growing industries. To help keep up with demand and assist the next generation of professionals, HireAHelper will award a $2,000 scholarship four times a year to eligible students.","Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,"$2,000 ",July
9994631,HomeCity Real Estate Scholarships,HomeCity Real Estate,To help students interested in pursuing a career in the real estate industry afford the rising cost of education.,Bachelor's Degree,Scholarship,"$1,000 ",July
9994625,Horatio Alger Ak-Sar-Ben Scholarships,Horatio Alger Association of Distinguished Americans,To provide financial assistance to students in the state of Nebraska and western Iowa.,Bachelor's Degree,Scholarship,"$6,000 ",July
9994730,Hpgs Graduate Scholarships,Hawaii Pacific Gerontological Society,"To provide funds for students who have a serious interest in professional work related to aging, long-term care, and/or death and dying.",Graduate Degree,Scholarship,"$2,000 ",July
9994729,HPGS Undergraduate Scholarships,Hawaii Pacific Gerontological Society,"To provide for students who have a serious interest in professional work related to aging, long-term care, and/or death and dying.",Bachelor's Degree,Scholarship,"$1,000 ",July
9994433,IAASM Aviation Medicine Scholarship,International Academy of Aviation and Space Medicine,To enable young physicians commencing a career in aviation and space medicine to undertake training in the specialty.,Professional Development,Scholarship,"$20,000 ",July
9994257,IABA Scholarship,Iranian American Bar Association,To support law students for their commitment to the advancement of the Iranian American community.,N/A,Scholarship,N/A,July
9994406,IASP Developing Countries Project: Initiative for Improving Pain,International Association for the Study of Pain,"To improve the scope and availability of essential education for pain clinicians of all disciplines, taking into account specific local needs and to address the need for improved pain education and practice in developing countries by providing support grants.",N/A,Grant,"$10,000 ",July
9994370,IEHA Spartan Scholarship Award,International Executive Housekeepers Association,To provide educational assistance to those who are in need.,Professional Development,Scholarship,"$1,500 ",July
9998466,Innovative Research Awards,Arthritis Foundation,"To enable research that has the potential to improve treatment of rheumatic diseases, patient outcomes, and/or increase quality of care",Professional Development,Grant,"$200,000 ",July
9994372,International Door Association Scholarship Foundation Program,International Door Association,"To support To nonprofit organization, to administer a scholarship program.",Bachelor's Degree,Scholarship,"$1,000
$2,000",July
9994455,IPR Pathfinder Award,Institute for Public Relations,To recognition of lifetime achievement to an individual who has made significant and sustained contributions to the body of knowledge and practice of public relations through published research.,N/A,Prize,N/A,July
9994275,ITNS Research Grants,International Transplant Nurses Society,To encourage qualified transplant health care providers to contribute to the advancement of transplantation through research by providing financial aid.,N/A,Grant,"$2,500 ",July
9990632,James H. Patrenos Memorial Scholarship,SINFONIA Educational Foundation,To provide educational assistance for American college students.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,500 ",July
9995699,Jan S. Bashinski Criminalistics Graduate Thesis Assistance Grant,"The Forensic Sciences Foundation, Inc.",To provide graduate students with financial assistance to complete their thesis or independent research project as required for a graduate degree in criminalistics.,"Bachelor's Degree
Graduate Degree",Grant,"$1,300
$1,700",July
9994055,JEA Future Journalism Teacher Scholarships,Journalism Education Association,To support education majors who intend to teach scholastic journalism.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",July
9994137,Jet Business Scholarship,Jet Insurance Services,To provide for who are interested in pursuing a career in business.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,$750 ,July
9992369,Johnston County Arts Council Scholarship,North Carolina Community Foundation,To support Johnston County residents pursuing arts education at Johnston Community College.,Associate Degree,Scholarship,N/A,July
9989729,Joseph J. Fitzsimmons Scholarship Fund,United States Judo Federation,To USJF members who are pursing a medical degree in a recognized academic institution.,Graduate Degree,Scholarship,N/A,July
9989795,Joseph Sumner Smith Scholarship,Unitarian Universalist Association,To support the education of a Unitarian Universalist (UU) student attending Harvard University.,Bachelor's Degree,Scholarship,"$250
$1,000",July
9993026,Joshua Gomes Memorial Scholarship Fund,National Bleeding Disorders Foundation,To provide academic scholarships for young adults with HIV/AIDS.,Graduate Degree,Scholarship,"$1,000 ",July
9998272,Julie Schmid Research Scholarship,Association of Occupational Health Professionals in Healthcare,"To encourage, promote and strengthen the knowledge base and expertise of the occupational health professional in healthcare.",Professional Development,Scholarship,"$2,000 ",July
9993937,KCC Foundation Scholarship,Kellogg Community College Foundation,To generate and encourage philanthropic giving and manage funds to enhance the quality of education while building stronger communities.,"Graduate Degree
High School",Scholarship,N/A,July
9998031,Kindred Foundation Scholarship,Black Business and Professional Association,"To support Black Canadian students pursuing degrees in mental health, health sciences, or science.",Bachelor's Degree,Scholarship,N/A,July
